ID,X,Y,Type,Demand
46,91,143,A,13
6,227,178,B,49
7,162,163,C,19
2,85,185,B,13
3,221,287,A,27
36,261,263,C,27
34,223,16,C,42
12,180,158,A,42
9,275,165,B,42
27,137,140,A,13
33,291,243,A,19
47,6,260,A,11
37,153,190,A,34
8,54,42,C,14
29,22,224,C,25
31,103,210,A,27
30,26,137,A,46
50,290,94,A,12
25,89,41,C,19
13,181,241,B,49
48,71,118,C,40
5,228,92,B,26
11,10,80,C,49
19,128,88,A,20
20,40,274,B,18
45,85,253,C,36
49,200,19,C,23
15,178,150,B,34
4,38,148,B,26
18,178,139,B,30
23,41,67,A,50
41,52,121,B,31
21,106,149,A,30
38,114,8,B,13
10,65,48,B,11
26,201,172,A,24
43,79,165,A,37
35,193,286,A,45
39,262,289,B,20
24,28,38,C,23
16,215,265,A,50
22,164,260,B,39
44,50,284,A,30
42,196,153,A,47
28,150,113,B,35
40,76,117,B,34
14,141,214,B,41
1,285,79,A,42
32,102,275,B,46
17,123,281,C,33
