Method,alpha,NN_Distance_mm,2opt_Distance_mm,NN_Improvement_pct,2opt_Improvement_pct
Original,,2259.6023,1956.5015,0.00,0.00
MVODM(n=50),0.01,2259.6023,1956.5015,0.00,0.00
MVODM(n=50),0.02,2274.0532,1956.5015,-0.64,0.00
MVODM(n=50),0.03,2274.0532,1956.5015,-0.64,0.00
MVODM(n=50),0.05,2274.0532,1956.5015,-0.64,0.00
MVODM(n=50),0.08,2274.0532,1956.5015,-0.64,0.00
MVODM(n=50),0.10,2185.1498,1913.5384,3.29,2.20
MVODM(n=50),0.15,2185.1498,1913.5384,3.29,2.20
MVODM(n=50),0.20,2185.1498,1913.5384,3.29,2.20
MVODM(n=50),0.30,2142.6686,1875.2349,5.17,4.15
MVODM(n=50),0.50,2036.5433,1896.0246,9.87,3.09
MVODM(n=50),0.70,1962.9873,1851.7062,13.13,5.36
MVODM(n=1173),0.70,13893.5158,12583.5682,5.47,0.63
