n,Change_Time_s,Drill_Time_s,Total_Change_Time_s,Movement_Time_s,Total_Time_s,Change_Pct,Ungrouped_Total_s,Group_Better,Crossover_CT_s
50,0.5,10.20,1.50,37.26,48.96,3.06,29.35,0,-6.04
50,1.0,10.20,3.00,37.26,50.46,5.95,29.35,0,-6.04
50,2.0,10.20,6.00,37.26,53.46,11.22,29.35,0,-6.04
50,5.0,10.20,15.00,37.26,62.46,24.02,29.35,0,-6.04
50,10.0,10.20,30.00,37.26,77.46,38.73,29.35,0,-6.04
50,20.0,10.20,60.00,37.26,107.46,55.84,29.35,0,-6.04
50,50.0,10.20,150.00,37.26,197.46,75.97,29.35,0,-6.04
198,0.5,41.90,1.50,76.51,119.91,1.25,74.53,0,-14.63
198,1.0,41.90,3.00,76.51,121.41,2.47,74.53,0,-14.63
198,2.0,41.90,6.00,76.51,124.41,4.82,74.53,0,-14.63
198,5.0,41.90,15.00,76.51,133.41,11.24,74.53,0,-14.63
198,10.0,41.90,30.00,76.51,148.41,20.21,74.53,0,-14.63
198,20.0,41.90,60.00,76.51,178.41,33.63,74.53,0,-14.63
198,50.0,41.90,150.00,76.51,268.41,55.88,74.53,0,-14.63
442,0.5,98.10,1.50,196.04,295.64,0.51,207.83,0,-28.77
442,1.0,98.10,3.00,196.04,297.14,1.01,207.83,0,-28.77
442,2.0,98.10,6.00,196.04,300.14,2.00,207.83,0,-28.77
442,5.0,98.10,15.00,196.04,309.14,4.85,207.83,0,-28.77
442,10.0,98.10,30.00,196.04,324.14,9.26,207.83,0,-28.77
442,20.0,98.10,60.00,196.04,354.14,16.94,207.83,0,-28.77
442,50.0,98.10,150.00,196.04,444.14,33.77,207.83,0,-28.77
1173,0.5,252.40,1.50,223.76,477.66,0.31,378.52,0,-32.55
1173,1.0,252.40,3.00,223.76,479.16,0.63,378.52,0,-32.55
1173,2.0,252.40,6.00,223.76,482.16,1.24,378.52,0,-32.55
1173,5.0,252.40,15.00,223.76,491.16,3.05,378.52,0,-32.55
1173,10.0,252.40,30.00,223.76,506.16,5.93,378.52,0,-32.55
1173,20.0,252.40,60.00,223.76,536.16,11.19,378.52,0,-32.55
1173,50.0,252.40,150.00,223.76,626.16,23.96,378.52,0,-32.55
