Step,Type,Feeder_ID,Mount_ID_1,Mount_ID_2,From_X,From_Y,Feeder_X,Feeder_Y,Placed_1_X,Placed_1_Y,Placed_2_X,Placed_2_Y,Segment_Distance_mm
1,single,15,53,,150.0,100.0,145.0,0.0,174.0,10.0,,,144.0
2,single,17,93,,174.0,10.0,165.0,0.0,193.0,25.0,,,72.0
3,single,23,6,,193.0,25.0,225.0,0.0,239.0,25.0,,,96.0
4,single,26,35,,239.0,25.0,255.0,0.0,262.0,40.0,,,88.0
5,single,28,37,,262.0,40.0,275.0,0.0,275.0,85.0,,,138.0
6,pair,22,74,73,275.0,85.0,215.0,0.0,232.0,22.0,234.0,44.0,208.0
7,single,20,60,,234.0,44.0,195.0,0.0,213.0,76.0,,,177.0
8,pair,18,75,25,213.0,76.0,175.0,0.0,199.0,29.0,194.0,48.0,191.0
9,single,22,42,,194.0,48.0,215.0,0.0,236.0,118.0,,,208.0
10,pair,25,61,98,236.0,118.0,245.0,0.0,249.0,104.0,252.0,119.0,253.0
11,pair,30,81,59,252.0,119.0,295.0,0.0,290.0,32.0,291.0,99.0,267.0
12,single,27,55,,291.0,99.0,265.0,0.0,273.0,132.0,,,265.0
13,pair,28,96,80,273.0,132.0,275.0,0.0,277.0,131.0,278.0,162.0,299.0
14,single,30,24,,278.0,162.0,295.0,0.0,288.0,179.0,,,365.0
15,single,29,12,,288.0,179.0,285.0,0.0,285.0,225.0,,,407.0
16,single,19,18,,285.0,225.0,185.0,0.0,201.0,137.0,,,478.0
17,pair,21,66,89,201.0,137.0,205.0,0.0,222.0,120.0,216.0,154.0,318.0
18,pair,16,4,17,216.0,154.0,155.0,0.0,176.0,65.0,175.0,118.0,355.0
19,single,14,78,,175.0,118.0,135.0,0.0,167.0,92.0,,,282.0
20,pair,7,79,82,167.0,92.0,65.0,0.0,92.0,8.0,88.0,47.0,272.0
21,pair,9,95,19,88.0,47.0,85.0,0.0,113.0,23.0,110.0,76.0,157.0
22,pair,12,71,7,110.0,76.0,115.0,0.0,143.0,121.0,151.0,123.0,240.0
23,pair,15,90,64,151.0,123.0,145.0,0.0,172.0,101.0,168.0,168.0,328.0
24,single,18,68,,168.0,168.0,175.0,0.0,193.0,196.0,,,389.0
25,pair,23,56,83,193.0,196.0,225.0,0.0,237.0,132.0,238.0,188.0,429.0
26,pair,26,86,52,238.0,188.0,255.0,0.0,262.0,171.0,260.0,214.0,428.0
27,pair,27,45,84,260.0,214.0,265.0,0.0,265.0,247.0,265.0,255.0,474.0
28,pair,24,97,21,265.0,255.0,235.0,0.0,246.0,245.0,241.0,261.0,562.0
29,single,21,41,,241.0,261.0,205.0,0.0,219.0,245.0,,,556.0
30,single,13,67,,219.0,245.0,125.0,0.0,151.0,154.0,,,519.0
31,pair,14,43,88,151.0,154.0,135.0,0.0,163.0,149.0,164.0,166.0,365.0
32,pair,11,11,92,164.0,166.0,105.0,0.0,135.0,146.0,134.0,148.0,404.0
33,pair,10,62,27,134.0,148.0,95.0,0.0,131.0,114.0,122.0,136.0,368.0
34,pair,2,39,48,122.0,136.0,15.0,0.0,18.0,87.0,18.0,99.0,345.0
35,pair,3,28,36,18.0,99.0,25.0,0.0,40.0,64.0,32.0,123.0,252.0
36,pair,5,32,49,32.0,123.0,45.0,0.0,49.0,87.0,61.0,137.0,289.0
37,pair,6,57,65,61.0,137.0,55.0,0.0,88.0,39.0,83.0,120.0,301.0
38,single,11,63,,83.0,120.0,105.0,0.0,141.0,164.0,,,342.0
39,single,12,8,,141.0,164.0,115.0,0.0,147.0,199.0,,,421.0
40,single,16,100,,147.0,199.0,155.0,0.0,177.0,243.0,,,472.0
41,pair,19,44,16,177.0,243.0,185.0,0.0,204.0,207.0,199.0,256.0,531.0
42,pair,20,50,51,199.0,256.0,195.0,0.0,214.0,212.0,215.0,262.0,542.0
43,single,24,2,,215.0,262.0,235.0,0.0,248.0,276.0,,,571.0
44,single,25,9,,248.0,276.0,245.0,0.0,260.0,276.0,,,570.0
45,pair,29,14,87,260.0,276.0,285.0,0.0,288.0,287.0,279.0,295.0,608.0
46,pair,1,91,13,279.0,295.0,5.0,0.0,12.0,130.0,17.0,126.0,715.0
47,pair,2,46,54,17.0,126.0,15.0,0.0,20.0,182.0,25.0,201.0,339.0
48,pair,3,23,34,25.0,201.0,25.0,0.0,29.0,167.0,40.0,198.0,414.0
49,pair,4,3,70,40.0,198.0,35.0,0.0,45.0,199.0,45.0,215.0,428.0
50,pair,4,76,1,45.0,215.0,35.0,0.0,43.0,52.0,45.0,258.0,493.0
51,pair,10,99,38,45.0,258.0,95.0,0.0,113.0,183.0,121.0,213.0,547.0
52,pair,9,5,72,121.0,213.0,85.0,0.0,111.0,195.0,110.0,247.0,523.0
53,pair,8,33,10,110.0,247.0,75.0,0.0,106.0,200.0,107.0,240.0,554.0
54,pair,8,31,40,107.0,240.0,75.0,0.0,101.0,261.0,104.0,265.0,566.0
55,pair,13,58,94,104.0,265.0,125.0,0.0,163.0,242.0,156.0,263.0,594.0
56,pair,17,20,85,156.0,263.0,165.0,0.0,185.0,233.0,178.0,288.0,587.0
57,pair,6,30,29,178.0,288.0,55.0,0.0,80.0,226.0,83.0,266.0,705.0
58,pair,7,47,69,83.0,266.0,65.0,0.0,93.0,172.0,94.0,281.0,594.0
59,pair,1,77,22,94.0,281.0,5.0,0.0,11.0,99.0,10.0,270.0,647.0
60,pair,5,26,15,10.0,270.0,45.0,0.0,72.0,266.0,60.0,292.0,636.0
