Mount_ID,X,Y,Old_Feeder_ID,New_Feeder_ID
88,164.0,166.0,20,14
23,29.0,167.0,21,3
21,241.0,261.0,5,24
45,265.0,247.0,26,27
40,104.0,265.0,14,8
66,222.0,120.0,16,21
75,199.0,29.0,9,18
37,275.0,85.0,4,28
19,110.0,76.0,16,9
9,260.0,276.0,25,25
14,288.0,287.0,29,29
28,40.0,64.0,14,3
7,151.0,123.0,16,12
25,194.0,48.0,26,18
80,278.0,162.0,3,28
39,18.0,87.0,18,2
27,122.0,136.0,11,10
85,178.0,288.0,18,17
69,94.0,281.0,1,7
71,143.0,121.0,26,12
87,279.0,295.0,29,29
24,288.0,179.0,13,30
50,214.0,212.0,18,20
22,10.0,270.0,17,1
32,49.0,87.0,13,5
52,260.0,214.0,21,26
78,167.0,92.0,18,14
79,92.0,8.0,23,7
17,175.0,118.0,22,16
11,135.0,146.0,7,11
8,147.0,199.0,19,12
36,32.0,123.0,22,3
26,72.0,266.0,22,5
77,11.0,99.0,16,1
94,156.0,263.0,12,13
12,285.0,225.0,14,29
1,45.0,258.0,27,4
89,216.0,154.0,14,21
57,88.0,39.0,1,6
72,110.0,247.0,28,9
62,131.0,114.0,26,10
70,45.0,215.0,24,4
86,262.0,171.0,14,26
6,239.0,25.0,18,23
53,174.0,10.0,18,15
34,40.0,198.0,29,3
5,111.0,195.0,27,9
20,185.0,233.0,17,17
2,248.0,276.0,28,24
56,237.0,132.0,5,23
4,176.0,65.0,8,16
73,234.0,44.0,30,22
13,17.0,126.0,13,1
10,107.0,240.0,16,8
42,236.0,118.0,7,22
38,121.0,213.0,12,10
93,193.0,25.0,21,17
64,168.0,168.0,28,15
33,106.0,200.0,21,8
15,60.0,292.0,19,5
95,113.0,23.0,8,9
35,262.0,40.0,24,26
67,151.0,154.0,5,13
92,134.0,148.0,17,11
74,232.0,22.0,16,22
49,61.0,137.0,7,5
76,43.0,52.0,4,4
98,252.0,119.0,13,25
61,249.0,104.0,16,25
29,83.0,266.0,12,6
58,163.0,242.0,14,13
91,12.0,130.0,16,1
48,18.0,99.0,16,2
100,177.0,243.0,14,16
46,20.0,182.0,3,2
90,172.0,101.0,26,15
47,93.0,172.0,21,7
16,199.0,256.0,21,19
68,193.0,196.0,17,18
84,265.0,255.0,29,27
99,113.0,183.0,4,10
96,277.0,131.0,18,28
97,246.0,245.0,27,24
44,204.0,207.0,1,19
51,215.0,262.0,4,20
18,201.0,137.0,11,19
83,238.0,188.0,6,23
3,45.0,199.0,6,4
63,141.0,164.0,3,11
55,273.0,132.0,2,27
54,25.0,201.0,2,2
30,80.0,226.0,24,6
65,83.0,120.0,4,6
60,213.0,76.0,19,20
59,291.0,99.0,25,30
82,88.0,47.0,16,7
31,101.0,261.0,23,8
41,219.0,245.0,2,21
81,290.0,32.0,20,30
43,163.0,149.0,26,14
